inference	item	correct	crossing	subform.id
The car {Comp} the tree hit burned{Conn}the car burned.	0	True	False	1
The car {Comp} the tree hit burned{Conn}the tree hit the car.	0	True	False	2
The car {Comp} the tree hit burned{Conn}the tree burned.	0	False	False	1
The car {Comp} the tree hit burned{Conn}the car hit the tree.	0	False	False	2
The tree {Comp} the car hit burned{Conn}the tree burned.	0	True	False	1
The tree {Comp} the car hit burned{Conn}the car hit the tree.	0	True	False	2
The tree {Comp} the car hit burned{Conn}the car burned.	0	False	False	1
The tree {Comp} the car hit burned{Conn}the tree hit the car.	0	False	False	2
The car {Comp} the tree hit shook{Conn}the car shook.	0	True	False	1
The car {Comp} the tree hit shook{Conn}the tree hit the car.	0	True	False	2
The car {Comp} the tree hit shook{Conn}the tree shook.	0	False	False	1
The car {Comp} the tree hit shook{Conn}the car hit the tree.	0	False	False	2
The tree {Comp} the car hit shook{Conn}the tree shook.	0	True	False	1
The tree {Comp} the car hit shook{Conn}the car hit the tree.	0	True	False	2
The tree {Comp} the car hit shook{Conn}the car shook.	0	False	False	1
The tree {Comp} the car hit shook{Conn}the tree hit the car.	0	False	False	2
The grandma {Comp} the girl kissed smiled{Conn}the grandma smiled.	1	True	False	1
The grandma {Comp} the girl kissed smiled{Conn}the girl kissed the grandma.	1	True	False	2
The grandma {Comp} the girl kissed smiled{Conn}the girl smiled.	1	False	False	1
The grandma {Comp} the girl kissed smiled{Conn}the grandma kissed the girl.	1	False	False	2
The girl {Comp} the grandma kissed smiled{Conn}the girl smiled.	1	True	False	1
The girl {Comp} the grandma kissed smiled{Conn}the grandma kissed the girl.	1	True	False	2
The girl {Comp} the grandma kissed smiled{Conn}the grandma smiled.	1	False	False	1
The girl {Comp} the grandma kissed smiled{Conn}the girl kissed the grandma.	1	False	False	2
The grandma {Comp} the girl kissed laughed{Conn}the grandma laughed.	1	True	False	1
The grandma {Comp} the girl kissed laughed{Conn}the girl kissed the grandma.	1	True	False	2
The grandma {Comp} the girl kissed laughed{Conn}the girl laughed.	1	False	False	1
The grandma {Comp} the girl kissed laughed{Conn}the grandma kissed the girl.	1	False	False	2
The girl {Comp} the grandma kissed laughed{Conn}the girl laughed.	1	True	False	1
The girl {Comp} the grandma kissed laughed{Conn}the grandma kissed the girl.	1	True	False	2
The girl {Comp} the grandma kissed laughed{Conn}the grandma laughed.	1	False	False	1
The girl {Comp} the grandma kissed laughed{Conn}the girl kissed the grandma.	1	False	False	2
The dog {Comp} the cat bit jumped{Conn}the dog jumped.	2	True	False	1
The dog {Comp} the cat bit jumped{Conn}the cat bit the dog.	2	True	False	2
The dog {Comp} the cat bit jumped{Conn}the cat jumped.	2	False	False	1
The dog {Comp} the cat bit jumped{Conn}the dog bit the cat.	2	False	False	2
The cat {Comp} the dog bit jumped{Conn}the cat jumped.	2	True	False	1
The cat {Comp} the dog bit jumped{Conn}the dog bit the cat.	2	True	False	2
The cat {Comp} the dog bit jumped{Conn}the dog jumped.	2	False	False	1
The cat {Comp} the dog bit jumped{Conn}the cat bit the dog.	2	False	False	2
The dog {Comp} the cat bit hid{Conn}the dog hid.	2	True	False	1
The dog {Comp} the cat bit hid{Conn}the cat bit the dog.	2	True	False	2
The dog {Comp} the cat bit hid{Conn}the cat hid.	2	False	False	1
The dog {Comp} the cat bit hid{Conn}the dog bit the cat.	2	False	False	2
The cat {Comp} the dog bit hid{Conn}the cat hid.	2	True	False	1
The cat {Comp} the dog bit hid{Conn}the dog bit the cat.	2	True	False	2
The cat {Comp} the dog bit hid{Conn}the dog hid.	2	False	False	1
The cat {Comp} the dog bit hid{Conn}the cat bit the dog.	2	False	False	2
The lion {Comp} the tiger chased growled{Conn}the lion growled.	3	True	False	1
The lion {Comp} the tiger chased growled{Conn}the tiger chased the lion.	3	True	False	2
The lion {Comp} the tiger chased growled{Conn}the tiger growled.	3	False	False	1
The lion {Comp} the tiger chased growled{Conn}the lion chased the tiger.	3	False	False	2
The tiger {Comp} the lion chased growled{Conn}the tiger growled.	3	True	False	1
The tiger {Comp} the lion chased growled{Conn}the lion chased the tiger.	3	True	False	2
The tiger {Comp} the lion chased growled{Conn}the lion growled.	3	False	False	1
The tiger {Comp} the lion chased growled{Conn}the tiger chased the lion.	3	False	False	2
The lion {Comp} the tiger chased yawned{Conn}the lion yawned.	3	True	False	1
The lion {Comp} the tiger chased yawned{Conn}the tiger chased the lion.	3	True	False	2
The lion {Comp} the tiger chased yawned{Conn}the tiger yawned.	3	False	False	1
The lion {Comp} the tiger chased yawned{Conn}the lion chased the tiger.	3	False	False	2
