inference	item	correct	crossing	{Prep}	{E/D}	{Comp}	{Conn}	surprisal_idx
The car that hit the tree burned, but then, the car hit the tree.	0	True	True			that	, but then, 	46
The car that hit the tree burned; but then, the car hit the tree.	0	True	True			that	; but then, 	46
The car that hit the tree burned, on the other hand, the car hit the tree.	0	True	True			that	, on the other hand, 	55
The car that hit the tree burned; on the other hand, the car hit the tree.	0	True	True			that	; on the other hand, 	55
The car that hit the tree burned, thus, the car hit the tree.	0	True	True			that	, thus, 	42
The car that hit the tree burned; thus, the car hit the tree.	0	True	True			that	; thus, 	42
The car that hit the tree burned, that is, the car hit the tree.	0	True	True			that	, that is, 	45
The car that hit the tree burned; that is, the car hit the tree.	0	True	True			that	; that is, 	45
The car that hit the tree burned, therefore, the car hit the tree.	0	True	True			that	, therefore, 	47
The car that hit the tree burned; therefore, the car hit the tree.	0	True	True			that	; therefore, 	47
The car that hit the tree burned, in short, the car hit the tree.	0	True	True			that	, in short, 	46
The car that hit the tree burned; in short, the car hit the tree.	0	True	True			that	; in short, 	46
The car that hit the tree burned, again, the car hit the tree.	0	True	True			that	, again, 	43
The car that hit the tree burned; again, the car hit the tree.	0	True	True			that	; again, 	43
The car that hit the tree burned, I repeat, the car hit the tree.	0	True	True			that	, I repeat, 	46
The car that hit the tree burned; I repeat, the car hit the tree.	0	True	True			that	; I repeat, 	46
The car that hit the tree burned, but then, the car hit the tree.	0	True	True			that	, but then, 	44
The car that hit the tree burned; but then, the car hit the tree.	0	True	True			that	; but then, 	44
The car that hit the tree burned, on the other hand, the car hit the tree.	0	True	True			that	, on the other hand, 	53
The car that hit the tree burned; on the other hand, the car hit the tree.	0	True	True			that	; on the other hand, 	53
The car that hit the tree burned, thus, the car hit the tree.	0	True	True			that	, thus, 	40
The car that hit the tree burned; thus, the car hit the tree.	0	True	True			that	; thus, 	40
The car that hit the tree burned, that is, the car hit the tree.	0	True	True			that	, that is, 	43
The car that hit the tree burned; that is, the car hit the tree.	0	True	True			that	; that is, 	43
The car that hit the tree burned, therefore, the car hit the tree.	0	True	True			that	, therefore, 	45
The car that hit the tree burned; therefore, the car hit the tree.	0	True	True			that	; therefore, 	45
The car that hit the tree burned, in short, the car hit the tree.	0	True	True			that	, in short, 	44
The car that hit the tree burned; in short, the car hit the tree.	0	True	True			that	; in short, 	44
The car that hit the tree burned, again, the car hit the tree.	0	True	True			that	, again, 	41
The car that hit the tree burned; again, the car hit the tree.	0	True	True			that	; again, 	41
The car that hit the tree burned, I repeat, the car hit the tree.	0	True	True			that	, I repeat, 	44
The car that hit the tree burned; I repeat, the car hit the tree.	0	True	True			that	; I repeat, 	44
The car that hit the tree burned, but then, the car burned.	0	True	False			that	, but then, 	46
The car that hit the tree burned; but then, the car burned.	0	True	False			that	; but then, 	46
The car that hit the tree burned, on the other hand, the car burned.	0	True	False			that	, on the other hand, 	55
The car that hit the tree burned; on the other hand, the car burned.	0	True	False			that	; on the other hand, 	55
The car that hit the tree burned, thus, the car burned.	0	True	False			that	, thus, 	42
The car that hit the tree burned; thus, the car burned.	0	True	False			that	; thus, 	42
The car that hit the tree burned, that is, the car burned.	0	True	False			that	, that is, 	45
The car that hit the tree burned; that is, the car burned.	0	True	False			that	; that is, 	45
The car that hit the tree burned, therefore, the car burned.	0	True	False			that	, therefore, 	47
The car that hit the tree burned; therefore, the car burned.	0	True	False			that	; therefore, 	47
The car that hit the tree burned, in short, the car burned.	0	True	False			that	, in short, 	46
The car that hit the tree burned; in short, the car burned.	0	True	False			that	; in short, 	46
The car that hit the tree burned, again, the car burned.	0	True	False			that	, again, 	43
The car that hit the tree burned; again, the car burned.	0	True	False			that	; again, 	43
The car that hit the tree burned, I repeat, the car burned.	0	True	False			that	, I repeat, 	46
The car that hit the tree burned; I repeat, the car burned.	0	True	False			that	; I repeat, 	46
The car that hit the tree burned, but then, the car burned.	0	True	False			that	, but then, 	44
The car that hit the tree burned; but then, the car burned.	0	True	False			that	; but then, 	44
The car that hit the tree burned, on the other hand, the car burned.	0	True	False			that	, on the other hand, 	53
The car that hit the tree burned; on the other hand, the car burned.	0	True	False			that	; on the other hand, 	53
The car that hit the tree burned, thus, the car burned.	0	True	False			that	, thus, 	40
The car that hit the tree burned; thus, the car burned.	0	True	False			that	; thus, 	40
The car that hit the tree burned, that is, the car burned.	0	True	False			that	, that is, 	43
The car that hit the tree burned; that is, the car burned.	0	True	False			that	; that is, 	43
The car that hit the tree burned, therefore, the car burned.	0	True	False			that	, therefore, 	45
The car that hit the tree burned; therefore, the car burned.	0	True	False			that	; therefore, 	45
The car that hit the tree burned, in short, the car burned.	0	True	False			that	, in short, 	44
The car that hit the tree burned; in short, the car burned.	0	True	False			that	; in short, 	44
The car that hit the tree burned, again, the car burned.	0	True	False			that	, again, 	41
The car that hit the tree burned; again, the car burned.	0	True	False			that	; again, 	41
The car that hit the tree burned, I repeat, the car burned.	0	True	False			that	, I repeat, 	44
The car that hit the tree burned; I repeat, the car burned.	0	True	False			that	; I repeat, 	44
The car that hit the tree burned, but then, the tree hit the car.	0	False	True			that	, but then, 	46
The car that hit the tree burned; but then, the tree hit the car.	0	False	True			that	; but then, 	46
The car that hit the tree burned, on the other hand, the tree hit the car.	0	False	True			that	, on the other hand, 	55
The car that hit the tree burned; on the other hand, the tree hit the car.	0	False	True			that	; on the other hand, 	55
The car that hit the tree burned, thus, the tree hit the car.	0	False	True			that	, thus, 	42
The car that hit the tree burned; thus, the tree hit the car.	0	False	True			that	; thus, 	42
The car that hit the tree burned, that is, the tree hit the car.	0	False	True			that	, that is, 	45
The car that hit the tree burned; that is, the tree hit the car.	0	False	True			that	; that is, 	45
The car that hit the tree burned, therefore, the tree hit the car.	0	False	True			that	, therefore, 	47
The car that hit the tree burned; therefore, the tree hit the car.	0	False	True			that	; therefore, 	47
The car that hit the tree burned, in short, the tree hit the car.	0	False	True			that	, in short, 	46
The car that hit the tree burned; in short, the tree hit the car.	0	False	True			that	; in short, 	46
The car that hit the tree burned, again, the tree hit the car.	0	False	True			that	, again, 	43
The car that hit the tree burned; again, the tree hit the car.	0	False	True			that	; again, 	43
The car that hit the tree burned, I repeat, the tree hit the car.	0	False	True			that	, I repeat, 	46
The car that hit the tree burned; I repeat, the tree hit the car.	0	False	True			that	; I repeat, 	46
The car that hit the tree burned, but then, the tree hit the car.	0	False	True			that	, but then, 	44
The car that hit the tree burned; but then, the tree hit the car.	0	False	True			that	; but then, 	44
The car that hit the tree burned, on the other hand, the tree hit the car.	0	False	True			that	, on the other hand, 	53
The car that hit the tree burned; on the other hand, the tree hit the car.	0	False	True			that	; on the other hand, 	53
The car that hit the tree burned, thus, the tree hit the car.	0	False	True			that	, thus, 	40
The car that hit the tree burned; thus, the tree hit the car.	0	False	True			that	; thus, 	40
The car that hit the tree burned, that is, the tree hit the car.	0	False	True			that	, that is, 	43
The car that hit the tree burned; that is, the tree hit the car.	0	False	True			that	; that is, 	43
The car that hit the tree burned, therefore, the tree hit the car.	0	False	True			that	, therefore, 	45
The car that hit the tree burned; therefore, the tree hit the car.	0	False	True			that	; therefore, 	45
The car that hit the tree burned, in short, the tree hit the car.	0	False	True			that	, in short, 	44
The car that hit the tree burned; in short, the tree hit the car.	0	False	True			that	; in short, 	44
