inference	item	correct	crossing	subform.id
The car hit the tree and burned{Conn}the car hit the tree.	0	True	True	1
The car hit the tree and burned{Conn}the car burned.	0	True	False	2
The car hit the tree and burned{Conn}the tree hit the car.	0	False	True	1
The car hit the tree and burned{Conn}the tree burned.	0	False	False	2
The tree hit the car and burned{Conn}the tree hit the car.	0	True	True	1
The tree hit the car and burned{Conn}the tree burned.	0	True	False	2
The tree hit the car and burned{Conn}the car hit the tree.	0	False	True	1
The tree hit the car and burned{Conn}the car burned.	0	False	False	2
The car hit the tree and shook{Conn}the car hit the tree.	0	True	True	1
The car hit the tree and shook{Conn}the car shook.	0	True	False	2
The car hit the tree and shook{Conn}the tree hit the car.	0	False	True	1
The car hit the tree and shook{Conn}the tree hit the car.	0	False	False	2
The tree hit the car and shook{Conn}the tree hit the car.	0	True	True	1
The tree hit the car and shook{Conn}the tree shook.	0	True	False	2
The tree hit the car and shook{Conn}the car hit the tree.	0	False	True	1
The tree hit the car and shook{Conn}the car hit the tree.	0	False	False	2
The grandma kissed the girl and smiled{Conn}the grandma kissed the girl.	1	True	True	1
The grandma kissed the girl and smiled{Conn}the grandma smiled.	1	True	False	2
The grandma kissed the girl and smiled{Conn}the girl kissed the grandma.	1	False	True	1
The grandma kissed the girl and smiled{Conn}the girl smiled.	1	False	False	2
The girl kissed the grandma and smiled{Conn}the girl kissed the grandma.	1	True	True	1
The girl kissed the grandma and smiled{Conn}the girl smiled.	1	True	False	2
The girl kissed the grandma and smiled{Conn}the grandma kissed the girl.	1	False	True	1
The girl kissed the grandma and smiled{Conn}the grandma smiled.	1	False	False	2
The grandma kissed the girl and laughed{Conn}the grandma kissed the girl.	1	True	True	1
The grandma kissed the girl and laughed{Conn}the grandma laughed.	1	True	False	2
The grandma kissed the girl and laughed{Conn}the girl kissed the grandma.	1	False	True	1
The grandma kissed the girl and laughed{Conn}the girl kissed the grandma.	1	False	False	2
The girl kissed the grandma and laughed{Conn}the girl kissed the grandma.	1	True	True	1
The girl kissed the grandma and laughed{Conn}the girl laughed.	1	True	False	2
The girl kissed the grandma and laughed{Conn}the grandma kissed the girl.	1	False	True	1
The girl kissed the grandma and laughed{Conn}the grandma kissed the girl.	1	False	False	2
The dog bit the cat and jumped{Conn}the dog bit the cat.	2	True	True	1
The dog bit the cat and jumped{Conn}the dog jumped.	2	True	False	2
The dog bit the cat and jumped{Conn}the cat bit the dog.	2	False	True	1
The dog bit the cat and jumped{Conn}the cat jumped.	2	False	False	2
The cat bit the dog and jumped{Conn}the cat bit the dog.	2	True	True	1
The cat bit the dog and jumped{Conn}the cat jumped.	2	True	False	2
The cat bit the dog and jumped{Conn}the dog bit the cat.	2	False	True	1
The cat bit the dog and jumped{Conn}the dog jumped.	2	False	False	2
The dog bit the cat and hid{Conn}the dog bit the cat.	2	True	True	1
The dog bit the cat and hid{Conn}the dog hid.	2	True	False	2
The dog bit the cat and hid{Conn}the cat bit the dog.	2	False	True	1
The dog bit the cat and hid{Conn}the cat bit the dog.	2	False	False	2
The cat bit the dog and hid{Conn}the cat bit the dog.	2	True	True	1
The cat bit the dog and hid{Conn}the cat hid.	2	True	False	2
The cat bit the dog and hid{Conn}the dog bit the cat.	2	False	True	1
The cat bit the dog and hid{Conn}the dog bit the cat.	2	False	False	2
The lion chased the tiger and growled{Conn}the lion chased the tiger.	3	True	True	1
The lion chased the tiger and growled{Conn}the lion growled.	3	True	False	2
The lion chased the tiger and growled{Conn}the tiger chased the lion.	3	False	True	1
The lion chased the tiger and growled{Conn}the tiger growled.	3	False	False	2
The tiger chased the lion and growled{Conn}the tiger chased the lion.	3	True	True	1
The tiger chased the lion and growled{Conn}the tiger growled.	3	True	False	2
