inference	item	correct	crossing	subform.id	{Prep}	{E/D}	{Comp}	{Conn}	connective.summ	surprisal.idx
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	46
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	43
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	50
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	47
This is the car that hit the tree; by contrast, the car hit the tree.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the car hit the tree.	0	True	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	46
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	43
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	45
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	50
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	47
This is the car that hit the tree; by contrast, the tree hit the car.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the car that hit the tree; in short, the tree hit the car.	0	False	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	46
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	43
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	50
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	47
This is the tree that hit the car; by contrast, the tree hit the car.	0	True	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the tree hit the car.	0	True	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	46
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	43
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	45
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	50
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	47
This is the tree that hit the car; by contrast, the car hit the tree.	0	False	True	1		This is	that	; by contrast, 	False	48
This is the tree that hit the car; in short, the car hit the tree.	0	False	True	1		This is	that	; in short, 	True	45
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	53
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	50
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	57
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	54
This is the grandma that kissed the girl; by contrast, the grandma kissed the girl.	1	True	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; in short, the grandma kissed the girl.	1	True	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; by contrast, the girl kissed the grandma.	1	False	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; by contrast, the girl kissed the grandma.	1	False	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; in short, the girl kissed the grandma.	1	False	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; in short, the girl kissed the grandma.	1	False	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; by contrast, the girl kissed the grandma.	1	False	True	1		This is	that	; by contrast, 	False	53
This is the grandma that kissed the girl; in short, the girl kissed the grandma.	1	False	True	1		This is	that	; in short, 	True	50
This is the grandma that kissed the girl; by contrast, the girl kissed the grandma.	1	False	True	1		This is	that	; by contrast, 	False	55
This is the grandma that kissed the girl; in short, the girl kissed the grandma.	1	False	True	1		This is	that	; in short, 	True	52
This is the grandma that kissed the girl; by contrast, the girl kissed the grandma.	1	False	True	1		This is	that	; by contrast, 	False	57
