inference	item	correct	crossing	subform.id	{Prep}	{E/D}	{Comp}	{Conn}	connective.summ	surprisal.idx
The car that the tree hit burned, by contrast, the car burned.	0	True	False	1			that	, by contrast, 	False	49
The car that the tree hit burned; by contrast, the car burned.	0	True	False	1			that	; by contrast, 	False	49
The car that the tree hit burned, on the other hand, the car burned.	0	True	False	1			that	, on the other hand, 	False	55
The car that the tree hit burned; on the other hand, the car burned.	0	True	False	1			that	; on the other hand, 	False	55
The car that the tree hit burned, thus, the car burned.	0	True	False	1			that	, thus, 	True	42
The car that the tree hit burned; thus, the car burned.	0	True	False	1			that	; thus, 	True	42
The car that the tree hit burned, that is, the car burned.	0	True	False	1			that	, that is, 	True	45
The car that the tree hit burned; that is, the car burned.	0	True	False	1			that	; that is, 	True	45
The car that the tree hit burned, therefore, the car burned.	0	True	False	1			that	, therefore, 	True	47
The car that the tree hit burned; therefore, the car burned.	0	True	False	1			that	; therefore, 	True	47
The car that the tree hit burned, in short, the car burned.	0	True	False	1			that	, in short, 	True	46
The car that the tree hit burned; in short, the car burned.	0	True	False	1			that	; in short, 	True	46
The car that the tree hit burned, by contrast, the car burned.	0	True	False	1			that	, by contrast, 	False	47
The car that the tree hit burned; by contrast, the car burned.	0	True	False	1			that	; by contrast, 	False	47
The car that the tree hit burned, on the other hand, the car burned.	0	True	False	1			that	, on the other hand, 	False	53
The car that the tree hit burned; on the other hand, the car burned.	0	True	False	1			that	; on the other hand, 	False	53
The car that the tree hit burned, thus, the car burned.	0	True	False	1			that	, thus, 	True	40
The car that the tree hit burned; thus, the car burned.	0	True	False	1			that	; thus, 	True	40
The car that the tree hit burned, that is, the car burned.	0	True	False	1			that	, that is, 	True	43
The car that the tree hit burned; that is, the car burned.	0	True	False	1			that	; that is, 	True	43
The car that the tree hit burned, therefore, the car burned.	0	True	False	1			that	, therefore, 	True	45
The car that the tree hit burned; therefore, the car burned.	0	True	False	1			that	; therefore, 	True	45
The car that the tree hit burned, in short, the car burned.	0	True	False	1			that	, in short, 	True	44
The car that the tree hit burned; in short, the car burned.	0	True	False	1			that	; in short, 	True	44
The car that the tree hit burned, by contrast, the tree hit the car.	0	True	False	2			that	, by contrast, 	False	49
The car that the tree hit burned; by contrast, the tree hit the car.	0	True	False	2			that	; by contrast, 	False	49
The car that the tree hit burned, on the other hand, the tree hit the car.	0	True	False	2			that	, on the other hand, 	False	55
The car that the tree hit burned; on the other hand, the tree hit the car.	0	True	False	2			that	; on the other hand, 	False	55
The car that the tree hit burned, thus, the tree hit the car.	0	True	False	2			that	, thus, 	True	42
The car that the tree hit burned; thus, the tree hit the car.	0	True	False	2			that	; thus, 	True	42
The car that the tree hit burned, that is, the tree hit the car.	0	True	False	2			that	, that is, 	True	45
The car that the tree hit burned; that is, the tree hit the car.	0	True	False	2			that	; that is, 	True	45
The car that the tree hit burned, therefore, the tree hit the car.	0	True	False	2			that	, therefore, 	True	47
The car that the tree hit burned; therefore, the tree hit the car.	0	True	False	2			that	; therefore, 	True	47
The car that the tree hit burned, in short, the tree hit the car.	0	True	False	2			that	, in short, 	True	46
The car that the tree hit burned; in short, the tree hit the car.	0	True	False	2			that	; in short, 	True	46
The car that the tree hit burned, by contrast, the tree hit the car.	0	True	False	2			that	, by contrast, 	False	47
The car that the tree hit burned; by contrast, the tree hit the car.	0	True	False	2			that	; by contrast, 	False	47
The car that the tree hit burned, on the other hand, the tree hit the car.	0	True	False	2			that	, on the other hand, 	False	53
The car that the tree hit burned; on the other hand, the tree hit the car.	0	True	False	2			that	; on the other hand, 	False	53
The car that the tree hit burned, thus, the tree hit the car.	0	True	False	2			that	, thus, 	True	40
The car that the tree hit burned; thus, the tree hit the car.	0	True	False	2			that	; thus, 	True	40
The car that the tree hit burned, that is, the tree hit the car.	0	True	False	2			that	, that is, 	True	43
The car that the tree hit burned; that is, the tree hit the car.	0	True	False	2			that	; that is, 	True	43
The car that the tree hit burned, therefore, the tree hit the car.	0	True	False	2			that	, therefore, 	True	45
The car that the tree hit burned; therefore, the tree hit the car.	0	True	False	2			that	; therefore, 	True	45
The car that the tree hit burned, in short, the tree hit the car.	0	True	False	2			that	, in short, 	True	44
The car that the tree hit burned; in short, the tree hit the car.	0	True	False	2			that	; in short, 	True	44
The car that the tree hit burned, by contrast, the tree burned.	0	False	False	1			that	, by contrast, 	False	49
The car that the tree hit burned; by contrast, the tree burned.	0	False	False	1			that	; by contrast, 	False	49
The car that the tree hit burned, on the other hand, the tree burned.	0	False	False	1			that	, on the other hand, 	False	55
The car that the tree hit burned; on the other hand, the tree burned.	0	False	False	1			that	; on the other hand, 	False	55
The car that the tree hit burned, thus, the tree burned.	0	False	False	1			that	, thus, 	True	42
The car that the tree hit burned; thus, the tree burned.	0	False	False	1			that	; thus, 	True	42
The car that the tree hit burned, that is, the tree burned.	0	False	False	1			that	, that is, 	True	45
The car that the tree hit burned; that is, the tree burned.	0	False	False	1			that	; that is, 	True	45
The car that the tree hit burned, therefore, the tree burned.	0	False	False	1			that	, therefore, 	True	47
The car that the tree hit burned; therefore, the tree burned.	0	False	False	1			that	; therefore, 	True	47
The car that the tree hit burned, in short, the tree burned.	0	False	False	1			that	, in short, 	True	46
The car that the tree hit burned; in short, the tree burned.	0	False	False	1			that	; in short, 	True	46
The car that the tree hit burned, by contrast, the tree burned.	0	False	False	1			that	, by contrast, 	False	47
The car that the tree hit burned; by contrast, the tree burned.	0	False	False	1			that	; by contrast, 	False	47
The car that the tree hit burned, on the other hand, the tree burned.	0	False	False	1			that	, on the other hand, 	False	53
The car that the tree hit burned; on the other hand, the tree burned.	0	False	False	1			that	; on the other hand, 	False	53
The car that the tree hit burned, thus, the tree burned.	0	False	False	1			that	, thus, 	True	40
The car that the tree hit burned; thus, the tree burned.	0	False	False	1			that	; thus, 	True	40
The car that the tree hit burned, that is, the tree burned.	0	False	False	1			that	, that is, 	True	43
The car that the tree hit burned; that is, the tree burned.	0	False	False	1			that	; that is, 	True	43
The car that the tree hit burned, therefore, the tree burned.	0	False	False	1			that	, therefore, 	True	45
The car that the tree hit burned; therefore, the tree burned.	0	False	False	1			that	; therefore, 	True	45
The car that the tree hit burned, in short, the tree burned.	0	False	False	1			that	, in short, 	True	44
The car that the tree hit burned; in short, the tree burned.	0	False	False	1			that	; in short, 	True	44
The car that the tree hit burned, by contrast, the car hit the tree.	0	False	False	2			that	, by contrast, 	False	49
The car that the tree hit burned; by contrast, the car hit the tree.	0	False	False	2			that	; by contrast, 	False	49
The car that the tree hit burned, on the other hand, the car hit the tree.	0	False	False	2			that	, on the other hand, 	False	55
The car that the tree hit burned; on the other hand, the car hit the tree.	0	False	False	2			that	; on the other hand, 	False	55
The car that the tree hit burned, thus, the car hit the tree.	0	False	False	2			that	, thus, 	True	42
The car that the tree hit burned; thus, the car hit the tree.	0	False	False	2			that	; thus, 	True	42
The car that the tree hit burned, that is, the car hit the tree.	0	False	False	2			that	, that is, 	True	45
The car that the tree hit burned; that is, the car hit the tree.	0	False	False	2			that	; that is, 	True	45
The car that the tree hit burned, therefore, the car hit the tree.	0	False	False	2			that	, therefore, 	True	47
The car that the tree hit burned; therefore, the car hit the tree.	0	False	False	2			that	; therefore, 	True	47
The car that the tree hit burned, in short, the car hit the tree.	0	False	False	2			that	, in short, 	True	46
The car that the tree hit burned; in short, the car hit the tree.	0	False	False	2			that	; in short, 	True	46
The car that the tree hit burned, by contrast, the car hit the tree.	0	False	False	2			that	, by contrast, 	False	47
The car that the tree hit burned; by contrast, the car hit the tree.	0	False	False	2			that	; by contrast, 	False	47
The car that the tree hit burned, on the other hand, the car hit the tree.	0	False	False	2			that	, on the other hand, 	False	53
The car that the tree hit burned; on the other hand, the car hit the tree.	0	False	False	2			that	; on the other hand, 	False	53
The car that the tree hit burned, thus, the car hit the tree.	0	False	False	2			that	, thus, 	True	40
The car that the tree hit burned; thus, the car hit the tree.	0	False	False	2			that	; thus, 	True	40
The car that the tree hit burned, that is, the car hit the tree.	0	False	False	2			that	, that is, 	True	43
The car that the tree hit burned; that is, the car hit the tree.	0	False	False	2			that	; that is, 	True	43
The car that the tree hit burned, therefore, the car hit the tree.	0	False	False	2			that	, therefore, 	True	45
The car that the tree hit burned; therefore, the car hit the tree.	0	False	False	2			that	; therefore, 	True	45
The car that the tree hit burned, in short, the car hit the tree.	0	False	False	2			that	, in short, 	True	44
The car that the tree hit burned; in short, the car hit the tree.	0	False	False	2			that	; in short, 	True	44
The tree that the car hit burned, by contrast, the tree burned.	0	True	False	1			that	, by contrast, 	False	49
The tree that the car hit burned; by contrast, the tree burned.	0	True	False	1			that	; by contrast, 	False	49
