E_nX	E_X	C_nX	C_X
	{E/D} the car {Comp} the tree hit {Conn} the tree hit the car.		{E/D} the car {Comp} the tree hit {Conn} the car hit the tree.
	{E/D} the tree {Comp} the car hit {Conn} the car hit the tree.		{E/D} the tree {Comp} the car hit {Conn} the tree hit the car.
	{E/D} the grandma {Comp} the girl kissed {Conn} the girl kissed the grandma.		{E/D} the grandma {Comp} the girl kissed {Conn} the grandma kissed the girl.
	{E/D} the girl {Comp} the grandma kissed {Conn} the grandma kissed the girl.		{E/D} the girl {Comp} the grandma kissed {Conn} the girl kissed the grandma.
	{E/D} the dog {Comp} the cat bit {Conn} the cat bit the dog.		{E/D} the dog {Comp} the cat bit {Conn} the dog bit the cat.
	{E/D} the cat {Comp} the dog bit {Conn} the dog bit the cat.		{E/D} the cat {Comp} the dog bit {Conn} the cat bit the dog.
	{E/D} the lion {Comp} the tiger chased {Conn} the tiger chased the lion.		{E/D} the lion {Comp} the tiger chased {Conn} the lion chased the tiger.
	{E/D} the tiger {Comp} the lion chased {Conn} the lion chased the tiger.		{E/D} the tiger {Comp} the lion chased {Conn} the tiger chased the lion.
	{E/D} the doctor {Comp} the patient reviewed {Conn} the patient reviewed the doctor.		{E/D} the doctor {Comp} the patient reviewed {Conn} the doctor reviewed the patient.
	{E/D} the patient {Comp} the doctor reviewed {Conn} the doctor reviewed the patient.		{E/D} the patient {Comp} the doctor reviewed {Conn} the patient reviewed the doctor.
	{E/D} the President {Comp} the beaurocrat noticed {Conn} the beaurocrat noticed the President.		{E/D} the President {Comp} the beaurocrat noticed {Conn} the President noticed the beaurocrat.
	{E/D} the beaurocrat {Comp} the President noticed {Conn} the President noticed the beaurocrat.		{E/D} the beaurocrat {Comp} the President noticed {Conn} the beaurocrat noticed the President.
	{E/D} the bride {Comp} the priest slapped {Conn} the priest slapped the bride.		{E/D} the bride {Comp} the priest slapped {Conn} the bride slapped the priest.
	{E/D} the priest {Comp} the bride slapped {Conn} the bride slapped the priest.		{E/D} the priest {Comp} the bride slapped {Conn} the priest slapped the bride.
	{E/D} the bee {Comp} the flower appreciated {Conn} the flower appreciated the bee.		{E/D} the bee {Comp} the flower appreciated {Conn} the bee appreciated the flower.
	{E/D} the flower {Comp} the bee appreciated {Conn} the bee appreciated the flower.		{E/D} the flower {Comp} the bee appreciated {Conn} the flower appreciated the bee.
	{E/D} the baby {Comp} the nurse loved {Conn} the nurse loved the baby.		{E/D} the baby {Comp} the nurse loved {Conn} the baby loved the nurse.
	{E/D} the nurse {Comp} the baby loved {Conn} the baby loved the nurse.		{E/D} the nurse {Comp} the baby loved {Conn} the nurse loved the baby.
	{E/D} the virus {Comp} the antibodies stopped {Conn} the antibodies stopped the virus.		{E/D} the virus {Comp} the antibodies stopped {Conn} the virus stopped the antibodies.
	{E/D} the antibodies {Comp} the virus stopped {Conn} the virus stopped the antibodies.		{E/D} the antibodies {Comp} the virus stopped {Conn} the antibodies stopped the virus.
	{E/D} the chef {Comp} the octopus squeezed {Conn} the octopus squeezed the chef.		{E/D} the chef {Comp} the octopus squeezed {Conn} the chef squeezed the octopus.
	{E/D} the octopus {Comp} the chef squeezed {Conn} the chef squeezed the octopus.		{E/D} the octopus {Comp} the chef squeezed {Conn} the octopus squeezed the chef.
	{E/D} the journalist {Comp} the senator pestered {Conn} the senator pestered the journalist.		{E/D} the journalist {Comp} the senator pestered {Conn} the journalist pestered the senator.
	{E/D} the senator {Comp} the journalist pestered {Conn} the journalist pestered the senator.		{E/D} the senator {Comp} the journalist pestered {Conn} the senator pestered the journalist.
	{E/D} the ant {Comp} the grasshopper saw {Conn} the grasshopper saw the ant.		{E/D} the ant {Comp} the grasshopper saw {Conn} the ant saw the grasshopper.
	{E/D} the grasshopper {Comp} the ant saw {Conn} the ant saw the grasshopper.		{E/D} the grasshopper {Comp} the ant saw {Conn} the grasshopper saw the ant.
	{E/D} the princess {Comp} the witch angered {Conn} the witch angered the princess.		{E/D} the princess {Comp} the witch angered {Conn} the princess angered the witch.
	{E/D} the witch {Comp} the princess angered {Conn} the princess angered the witch.		{E/D} the witch {Comp} the princess angered {Conn} the witch angered the princess.
	{E/D} the fish {Comp} the turtle sought {Conn} the turtle sought the fish.		{E/D} the fish {Comp} the turtle sought {Conn} the fish sought the turtle.
	{E/D} the turtle {Comp} the fish sought {Conn} the fish sought the turtle.		{E/D} the turtle {Comp} the fish sought {Conn} the turtle sought the fish.
	{E/D} the king {Comp} the jester entertained {Conn} the jester entertained the king.		{E/D} the king {Comp} the jester entertained {Conn} the king entertained the jester.
	{E/D} the jester {Comp} the king entertained {Conn} the king entertained the jester.		{E/D} the jester {Comp} the king entertained {Conn} the jester entertained the king.
	{E/D} the poet {Comp} the dandelion brushed {Conn} the dandelion brushed the poet.		{E/D} the poet {Comp} the dandelion brushed {Conn} the poet brushed the dandelion.
	{E/D} the dandelion {Comp} the poet brushed {Conn} the poet brushed the dandelion.		{E/D} the dandelion {Comp} the poet brushed {Conn} the dandelion brushed the poet.
	{E/D} the worker {Comp} the boss sued {Conn} the boss sued the worker.		{E/D} the worker {Comp} the boss sued {Conn} the worker sued the boss.
	{E/D} the boss {Comp} the worker sued {Conn} the worker sued the boss.		{E/D} the boss {Comp} the worker sued {Conn} the boss sued the worker.
	{E/D} the magician {Comp} the bunny touched {Conn} the bunny touched the magician.		{E/D} the magician {Comp} the bunny touched {Conn} the magician touched the bunny.
	{E/D} the bunny {Comp} the magician touched {Conn} the magician touched the bunny.		{E/D} the bunny {Comp} the magician touched {Conn} the bunny touched the magician.
	{E/D} the dragon {Comp} the child surprised {Conn} the child surprised the dragon.		{E/D} the dragon {Comp} the child surprised {Conn} the dragon surprised the child.
	{E/D} the child {Comp} the dragon surprised {Conn} the dragon surprised the child.		{E/D} the child {Comp} the dragon surprised {Conn} the child surprised the dragon.
	{E/D} the comedian {Comp} the audience delighted {Conn} the audience delighted the comedian.		{E/D} the comedian {Comp} the audience delighted {Conn} the comedian delighted the audience.
	{E/D} the audience {Comp} the comedian delighted {Conn} the comedian delighted the audience.		{E/D} the audience {Comp} the comedian delighted {Conn} the audience delighted the comedian.
	{E/D} the therapist {Comp} the insurer frustrated {Conn} the insurer frustrated the therapist.		{E/D} the therapist {Comp} the insurer frustrated {Conn} the therapist frustrated the insurer.
	{E/D} the insurer {Comp} the therapist frustrated {Conn} the therapist frustrated the insurer.		{E/D} the insurer {Comp} the therapist frustrated {Conn} the insurer frustrated the therapist.
	{E/D} the shoes {Comp} the carpet destroyed {Conn} the carpet destroyed the shoes.		{E/D} the shoes {Comp} the carpet destroyed {Conn} the shoes destroyed the carpet.
	{E/D} the carpet {Comp} the shoes destroyed {Conn} the shoes destroyed the carpet.		{E/D} the carpet {Comp} the shoes destroyed {Conn} the carpet destroyed the shoes.
	{E/D} the principal {Comp} the student expelled {Conn} the student expelled the principal.		{E/D} the principal {Comp} the student expelled {Conn} the principal expelled the student.
	{E/D} the student {Comp} the principal expelled {Conn} the principal expelled the student.		{E/D} the student {Comp} the principal expelled {Conn} the student expelled the principal.
	{E/D} the river {Comp} the sea joined {Conn} the sea joined the river.		{E/D} the river {Comp} the sea joined {Conn} the river joined the sea.
	{E/D} the sea {Comp} the river joined {Conn} the river joined the sea.		{E/D} the sea {Comp} the river joined {Conn} the sea joined the river.
