inference	item	correct	crossing	{Prep}	{E/D}	{Comp}	{Conn}	surprisal_idx
The car that the tree hit burned; by contrast, the car burned.	0	True	False			that	; by contrast, 	49
The car that the tree hit burned; in short, the car burned.	0	True	False			that	; in short, 	46
The car that the tree hit burned; by contrast, the car burned.	0	True	False			that	; by contrast, 	47
The car that the tree hit burned; in short, the car burned.	0	True	False			that	; in short, 	44
The car that the tree hit burned; by contrast, the tree hit the car.	0	True	False			that	; by contrast, 	49
The car that the tree hit burned; in short, the tree hit the car.	0	True	False			that	; in short, 	46
The car that the tree hit burned; by contrast, the tree hit the car.	0	True	False			that	; by contrast, 	47
The car that the tree hit burned; in short, the tree hit the car.	0	True	False			that	; in short, 	44
The car that the tree hit burned; by contrast, the tree burned.	0	False	False			that	; by contrast, 	49
The car that the tree hit burned; in short, the tree burned.	0	False	False			that	; in short, 	46
The car that the tree hit burned; by contrast, the tree burned.	0	False	False			that	; by contrast, 	47
The car that the tree hit burned; in short, the tree burned.	0	False	False			that	; in short, 	44
The car that the tree hit burned; by contrast, the car hit the tree.	0	False	False			that	; by contrast, 	49
The car that the tree hit burned; in short, the car hit the tree.	0	False	False			that	; in short, 	46
The car that the tree hit burned; by contrast, the car hit the tree.	0	False	False			that	; by contrast, 	47
The car that the tree hit burned; in short, the car hit the tree.	0	False	False			that	; in short, 	44
The tree that the car hit burned; by contrast, the tree burned.	0	True	False			that	; by contrast, 	49
The tree that the car hit burned; in short, the tree burned.	0	True	False			that	; in short, 	46
The tree that the car hit burned; by contrast, the tree burned.	0	True	False			that	; by contrast, 	47
The tree that the car hit burned; in short, the tree burned.	0	True	False			that	; in short, 	44
The tree that the car hit burned; by contrast, the car hit the tree.	0	True	False			that	; by contrast, 	49
The tree that the car hit burned; in short, the car hit the tree.	0	True	False			that	; in short, 	46
The tree that the car hit burned; by contrast, the car hit the tree.	0	True	False			that	; by contrast, 	47
The tree that the car hit burned; in short, the car hit the tree.	0	True	False			that	; in short, 	44
The tree that the car hit burned; by contrast, the car burned.	0	False	False			that	; by contrast, 	49
The tree that the car hit burned; in short, the car burned.	0	False	False			that	; in short, 	46
The tree that the car hit burned; by contrast, the car burned.	0	False	False			that	; by contrast, 	47
The tree that the car hit burned; in short, the car burned.	0	False	False			that	; in short, 	44
The tree that the car hit burned; by contrast, the tree hit the car.	0	False	False			that	; by contrast, 	49
The tree that the car hit burned; in short, the tree hit the car.	0	False	False			that	; in short, 	46
