A	B	Vtr	Vin1	Vin2
the car	the tree	hit	burned	shook
the grandma	the girl	kissed	smiled	laughed
the dog	the cat	bit	jumped	hid
the lion	the tiger	chased	growled	yawned
the doctor	the patient	reviewed	sat	blinked
the President	the beaurocrat	noticed	contemplated	tweeted
the bride	the priest	slapped	shouted	frowned
the bee	the flower	appreciated	sang	wriggled
the baby	the nurse	loved	slept	cried
the virus	the antibodies	stopped	emerged	dwindled
the chef	the octopus	squeezed	vanished	gasped
the journalist	the senator	pestered	wrote	fumed
the ant	the grasshopper	saw	worked	played
the princess	the witch	angered	melted	rejoiced
the fish	the turtle	sought	learned	failed
the king	the jester	entertained	juggled	sang
the poet	the dandelion	brushed	swayed	breathed
the worker	the boss	sued	resigned	apologized
the magician	the bunny	touched	disappeared	observed
the dragon	the child	surprised	apologized	flew
the comedian	the audience	delighted	bombed	aged
the therapist	the insurer	frustrated	refused	screamed
the shoes	the carpet	destroyed	shone	deteriorated
the principal	the student	expelled	smiled	frowned
the river	the sea	joined	swelled	shimmered
